Comment Number,Comment Text
239,I was about to order food online. I guess helping you and what you stand for helps keeping my sugar and cholesterol levels in check.
240,Shukriya Kunal bhaiyya. India is indebted to you :)
241,Thanks we need more people like you
242,A small help in support of free speech and constructive criticism
243,"Dabbi rakh kamm mittra. True Indians are always with you. We were not lucky to witness people like Bhagat Singh, but definitely I can say you have fearless thinking like them."
244,"Awesome content bhai! Not all hope is lost. I still have faith in democracy, may the fight against dictatorship stay stronger."
245,"Only if every reporter takes stand like Kunal, no politician would ever dare to misguide and divide public."
246,PUNJAAB IS WITH YOU
247,Salute to ur courage and your efforts Kunal!! Big thanks for being our voice
248,More power to you brother. Don't ever stop for any reason.
249,"We need to support Kamra, he’s a brave person speaking the truth about Indian politics and corruption. The police and the system aren’t doing their job; instead, they’re contributing to the problem. That’s why I left India for the US, where life is so much better."
250,Bhai Standing Ovation Aur Ek Jadoo ki jhappi  Ka Hakdaar Hai. Kunal Kamra Aawaz Hai. Darne ka nahi lala. Padhe Likhe Desh Ke Naujawan apke saath hai मानाचा मुजरा कुणाल भाऊ 
251,You want to know what bravery is ? Show this  Guy.
252,"For showing how to have a spine, and a voice that matters."
253,Great video..loved it kunal..Thanks
254,Worth it
255,"Thanks for giving us courage and singing the ""song of the dark time"".."
256,for your bravery bro! we’re all with you!
257,We need more eye openers like you in this country
258,GOOD JOB 
259,History pages will remember Indian stand up comedians for holding the gates of democracy.
260,Now are they going to arrest all the donors !!!
261,Such an entertaining yet intelligent comedy. Loved it! 🫶
262,Thanks for doing this on behalf of all of us. This is what courage looks like. I don't know any other way we can support you (and all those who don't shy away from speaking the truth).
263,Thanks for your bravery and courage 
264,Thanks for speaking up for every Indian
265,We stand with you Thanks
266,"Kunal Kamra is the only person I've come across, apart from Osho, who cuts through the noise and delivers impactful, straightforward talk during the need of the hour.  

P.S. 70's was indeed a great time to be  "
267,There was an afterparty by sena workers.... Surely you expected it
268,"Thanks
Respect brother ."
269,Age badho Bhai main sath huu....
270,"Thanks!
I don’t know how else to support your bravery!"
271,A little contribution for a huge courage Thanks
272,"Lawyer fee bro. The truest measure of a society isn't found in its monuments but in the courage of its jesters. When a comedian must weigh each punchline against their safety, we aren't witnessing comedy—we're witnessing resistance. Their laughter in the face of danger doesn't just challenge power; it reminds us that our freedom begins precisely where our silence ends"
273,Ideas are bulletproof.
274,"Proud on you you bravo man..., aise mahol me itni nidarta se khade rehna hi inqlaab hai...hum bhi motera stadium ko firse sardar patel stadium ka naam dilane ke liye aandolan chala rahe hai.....please hame support kare....aandolan samiti ka naam hai "" sardar samman sankalp aandolan samiti"" "
275,Life mein First time Thanks buy kia bhai vo bhi aapke lie..keep up the good work salute to your courage brother. Jai Hind🇮🇳️
276,Keep it up brother 
277,Thank you Kunal for this masterpiece. Bella Ciao
278,"So proud of your work, takes a lot of courage! Also this was a refreshing act + you sing well :)"
279,"Unlike the IT cell comments, there are real people behind these <3"
280,May God protect you and your family.
281,Love you bro
282,This is the truth. You're the truth.
283,Salute 🫡…. To a Real Man …
284,"Feeling sorry for the vandalism happened at Habitat .
They again proved Kunal right.
They again acted outside the boundaries of Constitution.
And again government will do nothing against them 

Thank you kunal for standing up🫡"
285,Bhai main netflix and amazon bhi friend ka use karta hoon  but baba tujhe to support karna banta hai ..to bhai jo ban pada aapke liye ..and whats funny is that by going through the comment section i got to know about so many currencies i never knew existedbut jokes apart we are a bit concerned about your security ..but  anyways  please keep up the good work ..we are with you 
286,Keep doing it bro we support you
287,Calling out people at the helm who have pushed the society into a whitewashed dystopia. Sheer courage...
